,店舗名,店舗名カナ,郵便番号,住所,電話番号,FAX番号,e-mailアドレス,ホームページアドレス,最寄りの交通機関,営業時間,定休日,業種,店舗緯度,店舗経度,おむつ替え設備,授乳の場,子供用補助便座,妊婦用駐車場,障害者用駐車場,ミルクのお湯を提供,こどもと遊べる場,ベビーカー,利用可能時間
21,内海福祉会館,うちのみふくしかいかん,761-4411,香川県小豆郡小豆島町安田甲36-3,0879-82-0337,,,,,9時～22時,日曜日・祝日・年末年始,,34.479138,134.317008,○,○,　,　,　,　,　,　,9時～22時
22,内海保健センター,うちのみほけんせんたー,761-4432,香川県小豆郡小豆島町草壁本町438-3,0879-82-0019,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.482931,134.302337,○,○,　,　,　,　,　,　,8時30分～22時
23,株式会社eco.プランニング,えこーぷらんにんぐ,761-0313,香川県高松市下田井町25番地2シャレーム三広101,087-847-3578,,,,,9時～16時30分,土曜日・日曜日・祝日,,34.298408,134.093277,○,○,○,　,　,　,　,　,9時～16時30分
24,NPOしおのえ　セカンドステージ,えぬぴーおーしおのえ　せかんどすてーじ,761-1614,香川県高松市塩江町上西乙1118-8,087-893-1100,,,http://npo-secondstage.com/,,9時～17時,火曜日,,34.162548,134.076094,○,○,　,　,　,　,　,　,9時～17時
25,オアシス元町,おあしすもとまち,762-0045,香川県坂出市元町4丁目2-4,0877-45-6767,,,,,10時～17時,毎週火曜日,,34.315344,133.855511,　,○,○,　,　,　,　,　,10時～17時
26,大池オートキャンプ場,おおいけおーときゃんぷじょう,769-2901,香川県東かがわ市引田3066番地1,0879-33-7168,,,http://www.higashikagawa.jp/life/institution/camp.html#01,,9時～16時,年末年始,,34.234407,134.402547,○,　,○,○,　,　,　,　,9時～16時
27,大内公民館,おおちこうみんかん,769-2601,香川県東かがわ市三本松1296番地36,0879-24-0945,,,http://www.higashikagawa.jp/life/institution/community.html,,9時～21時30分,火曜日・年末年始,,34.245272,134.33655,○,　,　,○,　,　,　,　,9時～21時30分
28,オカウチアピー空港通高松店,おかうちあぴーくうこうどおりたかまつてん,761-8084,香川県高松市一宮町906-1,087-815-6700,087-815-6706,,http://www.api-net.co.jp/,ことでん「空港通」駅よりタクシー3分または徒歩10分、ことでんバス「下大内」バス停より徒歩3分,10時 ～19 時,毎週火曜日,"買う, 食べる",34.29324,134.032477,○,○,○,○,　,○,○,○,10時～19時
29,オカウチアピー丸亀店,おかうちあぴーまるがめてん,763-0082,香川県丸亀市土器町東2-114,0877-22-0592,0877-22-0135,,http://www.api-net.co.jp/,JR丸亀駅、JR宇多津駅からタクシーで10分,10時 ～19 時,水曜日,買う,34.285626,133.817453,○,○,　,○,　,○,○,○,10時～19時
30,おすとあんでーる,おすとあんでーる,761-2406,香川県丸亀市綾歌町栗熊東55番地18,0877-86-2605,,,,,時 ～ 時、時 ～ 時、時 ～ 時,不定休,,34.24237,133.878636,○,　,　,○,　,　,　,　,10時～18時
31,オリーブナビ小豆島,おりーぶなびしょうどしま,761-4434,香川県小豆郡小豆島町西村甲1896-1,0879-82-7007,,,,,9時～17時,12月28日～12月30日,,34.469587,134.274481,○,　,○,　,　,　,　,　,9時～17時
32,買田簡易郵便局,かいたかんいゆうびんきょく,769-0311,仲多度郡まんのう町買田370-3,0877-75-1170,0877-75-1170,,,JR琴平駅　ことでん琴平駅、榎井駅,9時 ～ 16時,土、日、祭日　　年末12/31～年始1/3,"金融, その他",34.175194,133.827786,○,○,○,○,○,○,○,　,9時 ～16 時
33,keim hair,かいむ　へあ,768-0014,香川県観音寺市流岡町97-1,0875-56-0558,,,,,9時～18時30分,毎週月曜日・第3日曜日,,34.131696,133.679977,○,○,　,　,　,　,　,　,9時～18時30分
34,香川県公渕森林公園,かがわけん　きんぶちしんりんこうえん,761-0446,香川県高松市東植田町1210-3,087-849-0402,,,http://www.k-green.or.jp/kinbuchi/shisetsu.htm,,時 ～ 時、時 ～ 時、時 ～ 時,なし（12月29日～翌1月3日を除く）,,34.241332,134.104359,○,　,○,○,　,　,　,　,9時～17時　公園は24時間開放
35,香川県信用組合　円座支店,かがわけんしんようくみあいえんざしてん,761-8044,香川県高松市円座町1044-1,087-885-2131,087-885-2132,,http://www.kagawaken.shinkumi.jp/,琴電　琴平線　円座駅,9時～15時,土曜日・日曜日・祝祭日,金融,34.290089,134.009179,○,　,○,　,○,　,　,　,9時 ～ 15時
36,香川県西讃農業改良普及センター・香川県西部家畜保健衛生所西讃支所,かがわけんせいぶかちくほけんえいせいじょせいさんししょ,769-1503,香川県三豊市豊中町笠田竹田438-1,0875-62-3075,,,,,時 ～ 時、時 ～ 時、時 ～ 時,土曜日・日曜日・祝日・年末年始,,34.152941,133.697872,○,○,○,　,　,　,　,　,8時30分～17時15分
37,香川県西部林業事業所,かがわけんせいぶりんぎょうじむしょ,766-0021,香川県仲多度郡まんのう町四條1192番地1,0877-73-2347,,,http://www.pref.kagawa.jp/seiburingyo/index.htm,,時 ～ 時、時 ～ 時、時 ～ 時,土曜日・日曜日・祝祭日・年末年始,,34.191123,133.832752,○,　,○,○,　,　,　,　,8時30分～17時15分
38,香川県総合運動公園,かがわけんそうごううんどうこうえん,761-8002,香川県高松市生島町614番地,087-881-0354,,,http://www.sp-kagawa.com,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.36489,133.961641,○,　,　,○,　,　,　,　,9時～17時
39,香川県中讃保健福祉事務所,かがわけんちゅうさんほけんふくしじむしょ,763-0082,香川県丸亀市土器町東8丁目526番地,0877-24-9960,,,http://www.pref.kagawa.jp/chusanhoken/,,時 ～ 時、時 ～ 時、時 ～ 時,土曜日・日曜日・祝日・年末年始,,34.30088,133.805788,○,○,○,○,　,　,　,　,8時30分～17時15分
40,香川県庁舎,かがわけんちょうしゃ,760-8570,香川県高松市番町4丁目1番10号,087-831-1111,,,http://www.pref.kagawa.jp/,,8時～17時45分,土曜日・日曜日・祝日・年末年始,,34.34016,134.04336,○,○,○,○,　,　,　,　,8時～17時45分
41,香川県長尾土木事務所,かがわけんながおどぼくじむしょ,769-2301,香川県さぬき市長尾東1538-1,0879-52-2585,,,,,時 ～ 時、時 ～ 時、時 ～ 時,土曜日・日曜日・祝日・年末年始,,34.265372,134.18433,○,　,　,○,　,　,　,　,8時30分～17時15分
42,香川県美容業生活衛生同業組合,かがわけんびようぎょうせいかつえいせいどうぎょうくみあい,760-0079,香川県高松市松縄町1091番地3,087-867-3510,,,http://www.ba-kagawa.com,,8時30分～17時,土曜日・日曜日・国民の祝日,,34.31626,134.063521,　,　,○,○,　,　,　,　,8時30分～17時
43,香川県三豊合同庁舎,かがわけんみとよごうどうちょうしゃ,768-0067,香川県観音寺市坂本町七丁目3番18号,0875-25-3082,0875-25-6320,,,JR観音寺駅,8時30分 ～ 18時,土日・祝日・年末年始（12月29日～1月3日）,その他,34.127375,133.659015,○,　,　,○,○,　,　,　,8時 ～ 17時45分
44,香川県立図書館,かがわけんりつとしょかん,761-0393,香川県高松市林町2217-19,087-868-0567,,,http://www.library.pref.kagawa.jp/,,"平日9時～19時,土曜日・日曜日・祝日9時～17時",月曜日（月曜日が休日に当たるときは、その日後においてその日に最も近い休日でない日）,,34.293146,134.06663,○,○,○,○,　,　,　,　,"平日9時～19時,土曜日・日曜日・祝日9時～17時"
45,香川県立ミュージアム,かがわけんりつみゅーじあむ,760-0030,香川県高松市玉藻町5-5,087-822-0002,087-822-0043,kmuseum@pref.kagawa.lg.jp,http://www.pref.kagawa.lg.jp/kmuseum/,ＪＲ高松駅、ことでん高松築港駅,9時 ～17 時,月曜日（祝日の場合は翌火曜日）・年末年始（12月26日～1月1日）,"教育, 見る・遊ぶ",34.349687,134.05324,○,○,○,　,○,　,○,○,9時～17時
46,かがわ総合リハビリテーションセンター,かがわそうごうりはびりてーしょんせんたー,761-8057,香川県高松市田村町1114番地,087-867-6008,,,http://www.kagawa-reha.net/,,時 ～ 時、時 ～ 時、時 ～ 時,土曜日・日曜日・祝日,,34.306905,134.030779,○,○,○,○,　,　,　,　,8時30分～17時15分
47,株式会社　香川ダイハツモータース坂出店,かがわだいはつもーたーすさかいでてん,762-0021,香川県坂出市西庄町池田732-12,0877-45-4622,,,http://dd.daihatsu.co.jp/kagawaM/,,平日9時30分～19時、日曜・祝日9時30分～18時,毎週火曜日・年末年始・GW休暇・夏季休暇,,34.313687,133.882137,○,　,　,○,　,　,　,　,平日9時30分～19時、日曜・祝日9時30分～18時
48,株式会社　香川ダイハツモータース高松太田店,かがわだいはつもーたーすたかまつおおたてん,761-8073,香川県高松市太田下町2370,087-865-6895,087-865-6833,oota@kgwm.daihatsu-dlr.co.jp,http://dd.daihatsu.co.jp/kagawaM/,コトデンバス　レインボー循環バス「香川ダイハツモータース高松太田店前」下車すぐ,平日9時30分～19時、日曜・祝日9時30分～18時,毎週火曜日・年末年始・GW休暇・夏期休暇,"買う, 交通, 車・自転車",34.307941,134.043284,○,○,○,○,○,○,○,　,平日9時30分～19時、日曜・祝日9時30分～18時
49,株式会社　香川ダイハツモータース丸亀原田店,かがわだいはつもーたーすまるがめはらだてん,763-0074,香川県丸亀市原田町1923-1,0877-22-4273,,,http://dd.daihatsu.co.jp/kagawaM/,,平日9時30分～19時、日曜・祝日9時30分～18時,毎週火曜日・年末年始・GW休暇・夏季休暇,,34.258821,133.787452,○,　,　,○,　,　,　,　,平日9時30分～19時、日曜・祝日9時30分～18時
50,株式会社　香川ダイハツモータース三木店,かがわだいはつもーたーすみきてん,761-0612,香川県木田郡三木町氷上87-4,087-898-5588,,,http://dd.daihatsu.co.jp/kagawaM/,,平日9時30分～19時、日曜・祝日9時30分～18時,毎週火曜日・年末年始・GW休暇・夏季休暇,,34.266396,134.127211,○,　,　,○,　,　,　,　,平日9時30分～19時、日曜・祝日9時30分～18時
51,香川図書館,かがわとしょかん,761-1706,香川県高松市香川町川東上1865-13,087-879-8970,,,http://library.city.takamatsu.kagawa.jp/,,"平日9時30分～19時,土曜日・日曜日・祝日9時30分～17時",祝日でない金曜日（その他月末休館・年末年始休館等有）,,34.241478,134.034445,○,○,　,　,　,　,　,　,"平日9時30分～19時,土曜日・日曜日・祝日9時30分～17時"
52,香川トヨタ　高松南店,かがわとよたたかまつみなみてん,761-8082,香川県高松市鹿角町27-1,087-868-3350,,,http://kagawa-toyota.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,月曜日,,34.297434,134.034741,○,　,○,○,　,　,　,　,9時30分～18時
53,香川トヨタ　本店,かがわとよたほんてん,760-8568,香川県高松市番町2-5-14,087-851-7155,,,http://kagawa-toyota.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,月曜日,,34.343257,134.04283,○,○,○,　,　,　,　,　,9時30分～18時
54,香川トヨタ　屋島店,かがわとよたやしまてん,761-0101,香川県高松市春日町1671-1,087-843-2056,,,http://kagawa-toyota.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,月曜日,,34.33533,134.09141,　,　,○,○,　,　,　,　,9時30分～18時
55,香川トヨタ　ルート３２中央店,かがわとよたるーとさんじゅうにちゅうおうてん,769-0103,香川県高松市国分寺町福家甲1129-2,087-874-3200,,,http://kagawa-toyota.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,月曜日,,34.265779,133.971295,○,　,○,○,　,　,　,　,9時30分～18時
56,かがわの家.com,かがわのいえどっとこむ,761-8083,香川県高松市三名町674-7,087-888-6006,087-888-6016,info@kagawanoie.com,http://www.kagawanoie.jp/,,10時 ～ 17時,水曜日、年末年始、GW,住まい,34.294742,134.034233,○,○,○,　,　,○,○,　,10時 ～ 17時
57,香川用水記念公園　水の資料館,かがわようすいきねんこうえんみずのしりょうかん,769-0402,香川県三豊市財田町財田中2355,0875-67-3760,,,http://www.mizupark.com,,時 ～ 時、時 ～ 時、時 ～ 時,12月～3月の毎週木曜日（祝日の場合は翌日）及び12月29日～翌年1月3日,,34.100081,133.764942,○,○,○,○,　,　,　,　,9時～17時
58,菓子工房ルーヴ　空港通店,かしこうぼうるーぶ　くうこうとおりてん,761-8082,香川県高松市鹿角町290-1,0120-869-787,087-868-1444,,https://www.lowe.co.jp,ことでん太田駅から徒歩10分,9時30分 ～ 19時,臨時定休日あり（1/1・1/2 および 12/26）,"買う, 食べる",34.301784,134.034996,○,　,　,○,○,○,○,　,9時30分 ～ 19時
59,家族葬のネクスト,かぞくそうのねくすと,761-1702,香川県高松市香川町寺井624-1,087-888-5909,,,,,時 ～ 時、時 ～ 時、時 ～ 時,,,34.270506,134.031522,○,　,○,○,　,　,　,　,-
60,片原町西部商店街町営駐車場,かたはらまちせいぶしょうてんがいちょうえいちゅうしゃじょう,760-0033,香川県高松市丸の内10-2,087-822-2013,,,,,8時～20時30分,なし,,34.347082,134.051293,○,　,○,　,　,　,　,　,8時～20時30分
61,株式会社LIXILショールーム高松,かぶしきがいしゃ りくしるしょーるーむ たかまつ,760-0078,香川県高松市今里町11-1,087-815-3388,087-815-3392,ayumi.goi@lixil.com,,,10時 ～ 17時,毎週水曜日（夏季休暇・年末年始休暇あり）,住まい,34.32319,134.055691,○,○,○,○,○,○,○,○,10時 ～ 17時
62,株式会社　香川ダイハツモータース　観音寺店,かぶしきがいしゃ　かがわだいはつもーたーす　かんおんじてん,768-0021,香川県観音寺市吉岡町道上205-2,0875-25-1038,0875-25-1037,kanonji@kgwm.daihatsu-dlr.co.jp,http://dd.daihatsu.co.jp/kagawaM/,,平日9月30分～19時、日曜・祝日9時30分～18時,毎週火曜日・年末年始・GW休暇・夏季休暇,"買う, 見る・遊ぶ, 車・自転車",34.127652,133.689879,○,　,　,○,○,○,○,　,平日9月30分～19時、日曜・祝日9時30分～18時
63,株式会社　香川ダイハツモータース　高松香西店,かぶしきがいしゃ　かがわだいはつもーたーす　たかまつこうざいてん,761-8014,香川県高松市香西南町410,087-881-1811,087-881-2070,,http://dd.daihatsu.co.jp/kagawaM/,,平日 9時30分 ～ 19時、日曜日・祝日 9時30分 ～ 18時,毎週火曜日、年末年始、GW休暇、夏季休暇,車・自転車,34.341448,134.002693,○,　,　,○,○,○,○,　,平日 9時30分 ～ 19時、日曜日・祝日 9時30分 ～ 18時
64,株式会社　香川ダイハツモータース　滝宮店,かぶしきがいしゃ　かがわだいはつもーたーす　たきのみやてん,761-2304,香川県綾歌郡綾川町萱原483-3,087-876-2000,087-876-3888,,http://dd.daihatsu.co.jp/kagawaM/,,平日 9時30分 ～ 19時、日曜日・祝日 9時30分 ～ 18時,毎週火曜日、年末年始、GW休暇、夏季休暇,車・自転車,34.248122,133.934073,○,　,○,　,　,○,○,　,平日 9時30分 ～ 19時、日曜日・祝日 9時30分 ～ 18時
65,株式会社　香川ダイハツモータース高松東店,かぶしきがいしゃ　かがわだいはつもーたーすたかまつひがしてん,761-0102,香川県高松市新田町甲997-1,087-841-8888,087-841-8858,higashi@kgwm.daihatsu-dlr.co.jp,http://dd.daihatsu.co.jp/kagawaM/,JR屋島駅より南へ3キロ,平日9時30分 ～ 19時、日曜・祝日9時30分 ～ 18時,毎週火曜日・年末年始・GW休暇・夏季休暇,"買う, 車・自転車",34.331023,134.100617,○,○,○,○,○,○,○,　,平日9時30分 ～ 19時、日曜・祝日9時30分 ～ 18時
66,株式会社　香川ダイハツモータース詫間店,かぶしきがいしゃ　かがわだいはつもーたーすたくまてん,769-1101,香川県三豊市詫間町詫間6784-220,0875-83-5566,0875-83-5568,takuma@kgwm.daihatsu-dlr.co.jp,http://dd.daihatsu.co.jp/kagawaM/,JR詫間駅より西へ4キロ,平日9時30分 ～ 19時、日曜・祝日9時30分 ～ 18時,毎週火曜日・年末年始・GW休暇・夏季休暇,"買う, 車・自転車",34.213838,133.688154,○,○,○,○,○,○,○,　,平日9時30分 ～ 19時、日曜・祝日9時30分 ～ 18時
67,株式会社　香川ダイハツモータース丸亀土器店,かぶしきがいしゃ　かがわだいはつもーたーすまるがめどきてん,763-0082,香川県丸亀市土器町東八丁目453,0877-25-3888,0877-24-0679,doki@kgwm.daihatsu-dlr.co.jp,http://dd.daihatsu.co.jp/kagawaM/,JR宇多津駅より西へ1キロ,平日9時30分～19時、日曜・祝日9時30分～18時,毎週火曜日・年末年始・GW休暇・夏季休暇,車・自転車,34.298877,133.807982,○,○,○,○,○,○,○,　,平日9時30分～19時、日曜・祝日9時30分～18時
68,株式会社百十四銀行　栗林支店,かぶしきがいしゃ　ひゃくじゅうしぎんこう りつりんしてん,761-8063,香川県高松市花ノ宮町1-12-12,087-831-3171,087-834-6785,riturin@114bank.co.jp,http://www.114bank.co.jp,ことでんバス 室北口バス停下車 徒歩2分,9時 ～ 15時,土、日、祝,金融,34.326251,134.046647,○,　,　,○,○,　,　,　,9時 ～ 15時
69,株式会社スズキ自販香川　坂出営業所,かぶしきがいしゃすずきじはんかがわ　さかいでえいぎょうしょ,762-0003,香川県坂出市久米町1丁目1-45,0877-44-3777,0877-44-3780,,http://sj-kagawa.jp/,JR坂出駅から徒歩10分、坂出市役所から徒歩3分　旧11号線沿,10時 ～18 時30分,毎週火曜日,車・自転車,34.318872,133.860521,○,　,○,　,　,　,○,　,10時 ～ 18時30分
70,株式会社スズキ自販香川　善通寺営業所,かぶしきがいしゃすずきじはんかがわ　ぜんつうじえいぎょうしょ,765-0032,香川県善通寺市原田町字土居1412-1,0877-62-7321,0877-62-7326,,http://sj-kagawa.jp/,高松道善通寺ICより北に車で5分　国道319号線沿,10時 ～ 18時30分,毎週火曜日,車・自転車,34.253727,133.788571,○,　,○,　,　,　,○,　,10時 ～ 18時30分
71,株式会社スズキ自販香川　高松東営業所/U's STATION高松東,かぶしきがいしゃすずきじはんかがわ　たかまつひがしえいぎょうしょ　ゆうえすすていしょんたかまつひがし,761-0431,香川県高松市小村町116-1,087-840-3811,087-840-3880,,http://sj-kagawa.jp/,高松中央ICより東バイパス経由で長尾大内線バイパスを長尾方面へ車で約7分,10時 ～18 時30分,毎週火曜日　年末年始、ゴールデンウィーク、お盆,車・自転車,34.281715,134.099715,○,　,○,　,　,　,○,　,10時 ～ 18時30分
72,カメラのキタムラ観音寺店,かめらのきたむらかんおんじてん,768-0012,香川県観音寺市植田町東原98-1,0875-24-3838,,,,,時 ～ 時、時 ～ 時、時 ～ 時,正月,,34.123529,133.684703,○,　,○,　,　,　,　,　,10時～21時
73,カメラのキタムラ高松今里店,かめらのきたむらたかまついまざとてん,760-0078,香川県高松市今里町1-28-21,087-835-0026,,,,,時 ～ 時、時 ～ 時、時 ～ 時,正月,,34.323723,134.058755,○,　,○,　,　,　,　,　,10時～19時
74,カメラのキタムラマリオ高松南店,かめらのきたむらまりおたかまつみなみてん,761-8056,香川県高松市上天神町188-1,087-864-3112,,,,,10時 ～ 19時,正月,,34.315726,134.037731,○,　,○,　,　,　,　,　,10時～19時
75,カメラのキタムラマリオ高松屋島店,かめらのきたむらまりおたかまつやしまてん,761-0104,香川県高松市高松町3007-19,087-841-3300,,,,,時 ～ 時、時 ～ 時、時 ～ 時,正月,,34.339969,134.109474,○,　,○,　,　,　,　,　,10時～21時
76,カメラのキタムラ丸亀店,かめらのきたむらまるがめてん,763-0071,香川県丸亀市田村町1313-1,0877-25-1230,,,,,時 ～ 時、時 ～ 時、時 ～ 時,元旦・1月2日,,34.26845,133.79191,○,　,○,　,　,　,　,　,10時～19時
77,体サポートたけだ,からださぽーとたけだ,762-0024,香川県坂出市府中町5326-4,0877-35-8422,,,http://www.karadasupport-takeda.com/sp/index.html,さぬき府中駅　鴨川駅,10時 ～ 22時,日曜日　※20時以降ご希望の際は19時までにご連絡ください。,理美容・整体,34.297843,133.915657,○,　,○,　,　,　,　,　,10時 ～ 19時
78,かわたうどん,かわたうどん,761-1401,香川県高松市香南町岡1358-1,087-879-8686,,,http://www.kawataudon.com/,,10時～19時,毎週水曜日（祝日は営業）,,34.228532,134.021417,○,　,○,○,　,　,　,　,10時～19時
79,観音寺市豊浜総合体育館（すぽっシュ豊浜）,かんおんじしとよはまそうごうたいいくかん(すぽっしゅとよはま),769-1602,香川県観音寺市豊浜町和田浜784-1,0875-56-3366,0875-56-3375,,http://www.konamisportsandlife.co.jp/trust/toyohama/,豊浜駅,平日10時 ～ 23時、土日祝10時 ～ 20時,火曜日,"教育, スポーツ",34.074798,133.6422,○,○,○,　,○,　,○,　,平日10時 ～ 23時、土日祝10時 ～ 20時
80,寒霞渓ロープーウェイ,かんかけいろーぷうぇい,761-4433,香川県小豆郡小豆島町神懸通乙168,0879-82-2171,,,http://www.kankakei.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,無休,,34.515749,134.300689,○,　,○,　,　,　,　,　,8時30分～17時
81,絆KIZUNA,きずな,761-8071,香川県高松市伏石町2083-15,087-867-8991,,,,,時 ～ 時、時 ～ 時、時 ～ 時,月曜日（予約時は営業）,,34.312366,134.059783,○,　,○,　,　,　,　,　,8時～22時
82,北浜OASIS,きたはまおあしす,760-0031,香川県高松市北浜町4-10,090-6889-2556,,,,片原町駅、高松築港駅,火水木土 13時 ～ 23時、月金日 9時 ～ 23時,不定休,"理美容・整体, 医療機関",34.350846,134.056848,○,○,○,　,　,○,○,　,火水木土 13時 ～ 21時、月金日 11時 ～ 21時
83,キッズプラザうたづ,きっずぷらざうたづ,769-0210,香川県綾歌郡宇多津町浜八番丁113番地1,0877-49-4005,,,,,9時～17時,月曜日・祝日・12月29日～翌1月3日,,34.311648,133.821766,○,○,○,○,　,　,　,　,9時～17時
